career,sora_prompt
Dental Assistant,"Cinematic, high-definition montage of an early-career Asian woman dental assistant in a contemporary dental clinic with clean tile and sunlit windows. Wide establishing shot as she preps a sterile tray and adjusts the chair. Macro close-up of gloved hands positioning a digital X-ray sensor. Medium shot assisting chairside, passing instruments and suctioning. Over-the-shoulder shot updating the patient chart and scheduling on a computer. Photorealistic textures, subsurface scattering on skin, shallow depth of field, naturalistic movement, soft clinical lighting."
Dental Hygienist,"Cinematic montage of a mid-career Black man dental hygienist in a bright operatory with an overhead exam light and a rolling tool cart. Wide shot greeting a patient and reclining the chair. Macro close-up of an ultrasonic scaler with mist droplets sparkling. Medium shot applying fluoride and demonstrating flossing with a tooth model. Over-the-shoulder shot periodontal charting on a tablet with color-coded measurements. Soft daylight, realistic skin textures, subsurface scattering, smooth dolly-in camera moves."
Dentist,"Cinematic montage of an experienced White woman dentist in a modern private practice with glass partitions and imaging screens. Wide shot reviewing X-rays and explaining findings. Macro close-up of a dental mirror and handpiece with enamel detail. Medium shot placing a filling with precise hand control. Over-the-shoulder shot rotating a 3D tooth model in treatment-planning software. Close-up of a patient smiling in a handheld mirror. Photorealistic textures, shallow depth of field, soft professional light."
Registered Dietitian,"Cinematic montage of an early-career Hispanic woman registered dietitian moving between a hospital office and a teaching kitchen. Wide shot scanning labs and diet orders in the EHR. Over-the-shoulder counseling shot using a plate diagram at bedside. Macro close-up of measuring portions and reading nutrition labels. Medium shot collaborating with a care team in a hallway huddle. Close-up building a tailored meal plan with colorful charts on a laptop. Warm daylight, subsurface scattering, realistic food textures, natural motion."
Assisted Living Facility Administrator,"Cinematic montage of a mid-career Asian man assisted living facility administrator in a welcoming community with sunlit common areas. Wide tracking shot greeting residents and staff. Over-the-shoulder shot reviewing staffing schedules, budgets, and compliance checklists on dual monitors. Medium shot leading a brief safety huddle. Macro close-up of signing vendor paperwork and inspecting a medication storage seal. Wide shot touring a family through activity spaces. Photorealistic textures, soft ambient light, calm natural movement."
Health Information Technician,"Cinematic montage of an experienced Black woman health information technician in a quiet records department with dual monitors and secure file rooms. Over-the-shoulder shot auditing electronic charts for completeness. Macro close-up scanning documents and snapping barcode labels into focus. Medium shot coordinating with clinical staff via headset. Close-up of privacy lock icons as she sets access permissions. Wide shot of organized shelves and workstation flow. Cool screen glow, shallow depth of field, photorealistic textures, subtle hand movements."
Healthcare Administrator,"Cinematic montage of an early-career White man healthcare administrator in a hospital administrative suite overlooking a busy lobby. Wide shot leading a meeting with department heads. Over-the-shoulder shot analyzing patient-flow dashboards and staffing metrics. Medium shot walking a unit with a nurse manager, observing operations. Macro close-up highlighting budget line items for new equipment. Tracking shot checking in at the front desk to resolve a bottleneck. Naturalistic motion, soft daylight, crisp textures on paper and screens."
Medical Transcriptionist,"Cinematic montage of a mid-career Hispanic woman medical transcriptionist in a quiet home office with warm desk lighting and dual monitors. Close-up of a headset as an audio waveform pulses. Over-the-shoulder shot typing structured notes with medical terminology auto-complete. Macro close-up correcting dosages and flagged inconsistencies. Medium shot formatting an operative report and verifying medications. Close-up of encrypted upload confirmation. Photorealistic screen glow, shallow depth of field, realistic hand motion and skin subsurface scattering."
Nursing Home Administrator,"Cinematic montage of an experienced Asian woman nursing home administrator in a skilled nursing facility with a small office and active nurses’ station. Wide shot walking the hallway, greeting residents. Over-the-shoulder shot reviewing compliance binders and incident reports. Medium shot meeting with a family in a quiet room, empathetic but professional. Macro close-up of a safety checklist near handrails and call buttons. Tracking shot coordinating with clinical leadership at the station. Warm indoor light, realistic textures, steady camera movement."
Clinical Laboratory Scientist,"Cinematic montage of an early-career Black man clinical laboratory scientist in a high-tech lab with analyzers and microscopes. Wide shot donning PPE and loading samples into an automated analyzer. Macro close-up pipetting precise droplets into a microplate with visible surface tension. Over-the-shoulder shot verifying results in a lab information system. Medium shot adjusting microscope focus for a slide review. Close-up of quality-control charts and calibration steps. Cool clean lighting, photorealistic textures, natural motion."
Phlebotomist,"Cinematic montage of a mid-career White woman phlebotomist in a calm outpatient draw station with warm light. Medium shot reassuring a patient and applying a tourniquet. Macro close-up of gloved hands aligning the needle and completing a smooth venipuncture, clinical and non-dramatic. Over-the-shoulder shot labeling tubes and verifying identifiers. Close-up of tubes filling and gently inverting. Wide shot sanitizing and logging the draw in the computer. Shallow depth of field, realistic reflections, subsurface scattering on skin."
Certified Personal Care Aide/Home Health Aide,"Cinematic montage of an experienced Hispanic man home health aide in a cozy home with morning sunlight. Wide shot arriving, greeting the client, and checking a simple care plan. Medium shot assisting a safe bed-to-chair transfer with proper body mechanics. Close-up preparing a heart-healthy meal with steam and realistic food textures. Over-the-shoulder shot recording vitals and notes in a mobile app and calling a supervisor. Final tracking shot supporting a short walk. Warm light, natural motion, photorealistic detail."
Doula,"Cinematic montage of an early-career Asian woman doula in a softly lit birthing suite with calming décor. Wide shot setting a soothing environment and coaching breathing. Close-up of hands providing counter-pressure and gentle massage, subsurface scattering visible in soft light. Medium shot guiding positioning with a birthing ball and affirming cues. Over-the-shoulder shot coordinating preferences with a nurse and partner. Final close-up supporting early breastfeeding latch in a respectful, non-graphic way. Warm ambient light, shallow depth of field, naturalistic movement."
